Requirement ID,Specification section,Architecture component,Planned implementation location,Positive test obligation,Negative or boundary test obligation,Deployment verification obligation,External dependency,Current status,Notes
VF-TOK-001,4.1,BASE-TOK-*,Base,Confirm 18 decimals for all 3 tokens,Confirm non-18 decimals rejected,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Decimals
VF-TOK-002,4.1,BASE-ACT + BASE-VERIFY,Base,Confirm CHONX activates permanently at 10M cumulative lifetime VCLM; BASE-ACT records activation block+timestamp + emits activation message; causal receipt verified at creation,Confirm pre-activation CHONX selection rejected (Section H causal receipt via source flag or proof-verification path),N/A,N/A,DESIGN DEFINED — DEPLOYABILITY EVIDENCE REQUIRED,CHONX activation recording RESOLVED; causal activation-at-creation via source flag (programmable EVM/Solana) or proof-verification path (non-programmable) DESIGN DEFINED — DEPLOYABILITY EVIDENCE REQUIRED per env (Section H/Q.4); deployable Base->source activation channel not established
VF-TOK-003,4.1,BASE-ACT,Base,Confirm SYNTH activates permanently at 100M cumulative lifetime CHONX,Confirm pre-activation SYNTH forge rejected,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,SYNTH activation threshold
VF-TOK-004,4.1,BASE-FORGE,Base,Confirm 1 SYNTH = burn 1000 VCLM + 10000 CHONX,Confirm wrong burn ratios rejected,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Forge ratios
VF-TOK-005,4.1,BASE-FORGE,Base,Confirm forge is one-way,Confirm reversal/redemption/admin restore rejected,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,One-way forge
VF-TOK-006,4.1,BASE-ISSUE,Base,Confirm SYNTH never a Commitment Vault output,Confirm SYNTH output selection rejected,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,SYNTH not an output
VF-TOK-007,4.1,SRC-LOCK,Source,Confirm VCLM/CHONX/SYNTH prohibited as inputs,Confirm protocol-token input rejected,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Prohibited inputs
VF-TOK-008,4.2,BASE-EMIT,Base,Confirm VCLM decay from launch; CHONX from activation,Confirm decay start misaligned,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Decay clocks
VF-TOK-009,4.2,BASE-EMIT,Base,Confirm schedule advances only after complete 30-day period,Confirm partial-period advance rejected,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Decay period
VF-TOK-010,4.2,BASE-EMIT,Base,Confirm round-down at each 30-day step,Confirm rounding-up rejected,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Decay rounding
VF-TOK-011,4.2,BASE-MULT,Base,Confirm multipliers applied after emission rate; do not alter decay,Confirm multiplier reorders decay,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Multiplier ordering
VF-TOK-012,4.2,APP-PUBLIC,Public app,Confirm reference values presented as issuance references not prices,Confirm guarantee/promises rejected,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Reference semantics
VF-TOK-013,4.3,BASE-TOK-*,Base,Confirm no transfer tax/allowlist/freeze/restriction,Confirm restriction present,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Transferability
VF-TOK-014,4.3,APP-PUBLIC + BASE-VERIFY,Public app/Base,Confirm external markets do not alter issuance/supply/reward/activation,Confirm market alters protocol,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Market independence
VF-TOK-015,4.3,APP-PUBLIC,Public app,Confirm no listing/price/value guarantee,Confirm guarantee language present,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,No guarantees
VF-COM-001,5.1,SRC-LOCK + BASE-MULT,Source/Base,Confirm only Section 5.1 durations permitted,Confirm intermediate duration rejected,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Permitted durations
VF-COM-002,5.1,SRC-LOCK + BASE-MULT,Source/Base,Confirm no intermediate duration/interpolated multiplier,Confirm interpolation rejected,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,No interpolation
VF-COM-003,5.2,SRC-LOCK + BASE-VERIFY,Source/Base,Confirm qualifying Handshake = 1h with $0.95-$1.05 (enforced in source preflight and/or proof-verification path),Confirm out-of-range 1h cannot become a recognized lock,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Handshake value range (spec rule); enforced at source (EVM/Solana) and/or at recognition (proof-verification path) per chain-equivalent principle (Section Q.4)
VF-COM-004,5.2,SRC-FEE (chain-native atomic construction),Source,Confirm Handshake fee 2.50% routed within the chain-native atomic construction (no partial recognized completion),Confirm wrong fee or fee outside the recognized atomic construction,N/A,N/A,DESIGN DEFINED — DEPLOYABILITY EVIDENCE REQUIRED,Handshake fee atomicity = no partial recognized completion (Section Q.4); RESOLVED — DEPLOYABLE MECHANISM ESTABLISHED on EVM/Solana/UTXO single-tx/Stellar multi-op; DESIGN DEFINED on XRPL atomic batch/design; EVIDENCE REQUIRED — CHAIN-NATIVE FEASIBILITY ANALYSIS INCOMPLETE on Cosmos Hub
VF-COM-005,5.2,SRC-BIND,Source,Confirm identity key = source env + source-chain identity (account for account-model chains; canonical release public key for UTXO-family mechanisms R.13); new wallet/account/release public key permitted,Confirm key mismatch,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Settled Handshake identity (Section Q.2): per objectively recorded source-chain identity not per human; UTXO-family = canonical release public key (R.13); new wallet/account/release public key permitted and not a bypass; no person-level/cross-wallet/anti-Sybil
VF-COM-006,5.2,SRC-LOCK + BASE-VERIFY,Source/Base,Confirm the applicable allowance (one or three successful qualifying Handshakes per bound identity per source-mechanism state capability) consumed at source completion (recognized event),Confirm over-limit success by same identity becomes a recognized lock; confirm concurrent same-identity attempts exceed the applicable allowance,N/A,N/A,DESIGN DEFINED — DEPLOYABILITY EVIDENCE REQUIRED,One-versus-three rule (Section Q.2); RESOLVED — DEPLOYABLE MECHANISM ESTABLISHED on EVM/Solana (3-use source counter); DESIGN DEFINED on UTXO/XRPL/Stellar (1-use Base recognition counter; exactly one canonical release public key per UTXO-family mechanism — Section Q.2/N; R.13); EVIDENCE REQUIRED — CHAIN-NATIVE FEASIBILITY ANALYSIS INCOMPLETE on Cosmos Hub (Section N); official-application prevention (Section Q.4.2); objective-disposition pending-attempt lifecycle (Section Q.4.3; no timer/mempool clearing; R.14)
VF-COM-007,5.2,SRC-LOCK + BASE-VERIFY,Source/Base,Confirm after the applicable allowance is consumed additional 1h by the same identity is rejected before becoming a recognized lock / authorizing issuance,Confirm over-limit 1h by same identity becomes a recognized lock,N/A,N/A,DESIGN DEFINED — DEPLOYABILITY EVIDENCE REQUIRED,Post-limit rejection before recognition/issuance; RESOLVED — DEPLOYABLE MECHANISM ESTABLISHED on EVM/Solana (pre-movement); DESIGN DEFINED on others at recognition (1-use: 2nd rejected; 3-use: 4th rejected); EVIDENCE REQUIRED — CHAIN-NATIVE FEASIBILITY ANALYSIS INCOMPLETE on Cosmos Hub; official application must block the second qualifying attempt for a one-use identity before broadcast (Section Q.4.2); objective-disposition pending-attempt lifecycle blocks another official Handshake while an attempt is objectively pending (Section Q.4.3; R.14)
VF-COM-008,5.2,SRC-LOCK,Source,Confirm failed/reverted/invalid/unrecognized attempts consume no allowance,Confirm allowance consumed on failure,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Unrecognized attempts create no Vinculum rights and consume no allowance (Section Q.2/Q.4)
VF-COM-009,5.3,SRC-LOCK + SRC-FEE,Source,Confirm 7d-3650d require >=$10.00 and 5.00% fee,Confirm below-min rejected,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Standard minimum+fee
VF-COM-010,5.3,SRC-LOCK,Source,Confirm zero amount invalid,Confirm zero amount accepted,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Nonzero amount
VF-COM-011,5.3,SRC-FEE + BASE-QNORM,Source/Base,Confirm fee units = floor(gross*bps/10000) using verified precision,Confirm rounding-up; confirm relayer-supplied precision accepted,N/A,Asset-precision metadata (I.6),RESOLVED — ARCHITECTURE DEFINED,Fee rounding + quantity normalization; metadata provisioning DEFERRED EXTERNAL INPUT
VF-COM-012,5.3,SRC-LOCK + BASE-QNORM,Source/Base,Confirm principal = gross - rounded fee; precision from immutable table,Confirm principal miscomputed; confirm false decimals,N/A,Asset-precision metadata (I.6),RESOLVED — ARCHITECTURE DEFINED,Principal computation; metadata provisioning DEFERRED EXTERNAL INPUT
VF-COM-013,5.3,SRC-LOCK,Source,Confirm reject if rounded fee=0 or principal=0,Confirm zero-fee/zero-principal accepted,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Zero rejection
VF-COM-014,5.3,SRC-LOCK,Source,Confirm decimal-incompatible asset rejected for Handshake but eligible for longer locks,Confirm incompatible asset used for Handshake,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Decimal precision rule
VF-COM-015,5.3,SRC-FEE,Source,Confirm collected fee of a recognized lock is non-refundable,Confirm refund issued for a recognized lock,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Recognized-fee non-refundability RESOLVED; SETTLED RULE (Pass 5; owner-approved; Section Q.4.1/R.11): a fee actually and irreversibly transferred to the fixed Dev Fund destination is permanently non-refundable even if the source transaction is later rejected as unrecognized or over-limit; such an attempt creates no recognized lock/issuance/RAC/allowance/other rights; principal remains deterministically releasable at maturity; official application must prevent the fee-loss scenario whenever technically possible (Section Q.4.2)
VF-COM-016,5.3,SRC-RELEASE,Source,Confirm no early/cancel/penalty/admin/emergency release in the recognized design,Confirm early release accepted,N/A,N/A,DESIGN DEFINED — DEPLOYABILITY EVIDENCE REQUIRED,No early release; XRPL recognized design must remove EscrowCancel early-cancel path (C.10; DESIGN DEFINED); otherwise RESOLVED — DEPLOYABLE MECHANISM ESTABLISHED
VF-COM-017,5.4,BASE-ISSUE + BASE-QNORM,Base,Confirm issuance begins with full Verified Gross USD Value before fee (verified precision),Confirm fee reduces basis; confirm false precision,N/A,Asset-precision metadata (I.6),RESOLVED — ARCHITECTURE DEFINED,Issuance basis; metadata provisioning DEFERRED EXTERNAL INPUT
VF-COM-018,5.4,BASE-ISSUE,Base,Confirm calculation order: gross -> rate -> asset mult -> duration mult -> units,Confirm order changed,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Calculation order
VF-COM-019,5.4,BASE-ISSUE,Base,Confirm integer division rounds down; no reorder/round-to-nearest,Confirm reordering/round-to-nearest,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Rounding rules
VF-COM-020,5.4,BASE-ISSUE,Base,Confirm exactly one output token per lock,Confirm two outputs issued,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,One output
VF-COM-021,5.4,BASE-ISSUE,Base,Confirm full output issued to bound recipient,Confirm partial/redirect,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Recipient issuance
VF-COM-022,5.4,BASE-TOK-*,Base,Confirm classification/history does not attach to fungible VCLM/CHONX,Confirm traceability attached,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Fungibility
VF-COM-023,5.4,SRC-LOCK,Source,Confirm lock not renewable; new separate lock after maturity,Confirm renewal accepted,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Non-renewable
VF-COM-024,5.4,SRC-LOCK,Source,Confirm non-1h lock consumes no Handshake allowance,Confirm non-1h consumes allowance,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Allowance scope
VF-COM-025,5.4,BASE-VERIFY + BASE-ACT,Base,Confirm CHONX active at lock creation via causal activation receipt (source flag or proof-verification path; Section H),Confirm later activation cures earlier selection; confirm timestamp comparison/tolerance invented,N/A,N/A,DESIGN DEFINED — DEPLOYABILITY EVIDENCE REQUIRED,Causal ordering via source flag (programmable EVM/Solana) or proof-verification path (non-programmable); DESIGN DEFINED — DEPLOYABILITY EVIDENCE REQUIRED for deployable verifier + Base->source activation-evidence channel (Section H/Q.5)
VF-COM-026,5.2,SRC-LOCK + BASE-VERIFY,Source/Base,Confirm out-of-range 1h cannot become a recognized lock; 1h only via qualifying Handshake; over-limit attempt by same identity rejected before recognition,Confirm out-of-range 1h becomes a recognized lock,N/A,N/A,DESIGN DEFINED — DEPLOYABILITY EVIDENCE REQUIRED,1h exclusivity + over-limit rejection before recognition/issuance (one-or-three per identity); RESOLVED — DEPLOYABLE MECHANISM ESTABLISHED on EVM/Solana (3-use pre-movement); DESIGN DEFINED on others at recognition; EVIDENCE REQUIRED — CHAIN-NATIVE FEASIBILITY ANALYSIS INCOMPLETE on Cosmos Hub; official-application prevention (Section Q.4.2); objective-disposition pending-attempt lifecycle (Section Q.4.3; R.14)
VF-REG-001,6.1,BASE-REG,Base,"Confirm deployed registry = exactly 1,001 entries",Confirm count != 1001,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,"1,001 assets preserved; 17 environments already in current governing inputs (row 54 BCH already assigned to Bitcoin Cash in the current governing registry; historical correction — Section K.1/C.17)"
VF-REG-002,6.1,BASE-REG,Base,Confirm S1 = Ethereum USDC+USDT only,Confirm other stablecoin elevated,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,S1 identity
VF-REG-003,6.1,BASE-REG,Base,Confirm S2 = native ETH/BTC + Ethereum AAVE/LINK/UNI only,Confirm other S2 identity,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,S2 identity
VF-REG-004,6.1,BASE-REG,Base,Confirm remaining 994 = S3,Confirm S3 count != 994,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,S3 count (subject to K.5 audit)
VF-REG-005,6.1,BASE-REG,Base,Confirm wrapped/bridged/derivative/alt-chain remain S3 unless one of 7 elevated,Confirm WETH/WBTC elevated to S2,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Wrapped forms S3
VF-REG-006,6.1,BASE-MULT,Base,Confirm S1/S2 multipliers apply equally for VCLM or activated CHONX output,Confirm output-dependent multiplier,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Multiplier parity
VF-REG-007,6.1,BASE-STAKE,Base,Confirm classification affects initial issuance only; never Treasury Reward Stake Weight,Confirm classification affects stake weight,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Stake independence
VF-REG-008,6.1,BASE-REG + SRC-LOCK,Base/Source,Confirm VCLM/CHONX/SYNTH excluded from registry as inputs,Confirm protocol token in registry,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Protocol tokens excluded
VF-REG-009,6.1,BASE-REG,Base,Confirm WETH reference is pricing metadata; native ETH = S2; WETH not elevated,Confirm WETH = S2,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,WETH metadata
VF-REG-010,6.1,BASE-REG,Base,Confirm no entry add/remove/reclassify/re-identify post-finalization,Confirm post-finalization change accepted,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Registry immutability
VF-REG-011,6.3,BASE-REG,Base,"Confirm machine-readable registry conforms: 1,001 records with matching row/symbol/name/env/contract-or-native/class/pricing fields",Confirm non-conforming registry accepted,N/A,N/A,PARTIAL — EVIDENCE REQUIRED,"Registry conformity (semantic); full 1,001-row field-level audit pending re-provision of registry JSON (K.5); 209 labels do not prove conformity"
VF-ORC-001,7.1,PRICE-FETCH,Off-chain,Confirm price runs twice per day,Confirm run count != 2,N/A,External price APIs,RESOLVED — ARCHITECTURE DEFINED,Twice-daily
VF-ORC-002,7.1,PRICE-FETCH,Off-chain,Confirm first valid price accepted; later sources not consulted,Confirm later source consulted after valid,N/A,External price APIs,RESOLVED — ARCHITECTURE DEFINED,First-valid
VF-ORC-003,7.1,PRICE-FETCH,Off-chain,Confirm no two-source/spread/median/TWAP/10-min freshness,Confirm such requirement present,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,No consensus extras
VF-ORC-004,7.1,PRICE-FETCH,Off-chain,Confirm no hardcoded fallback price,Confirm hardcoded fallback used,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,No fallback
VF-ORC-005,7.1,PRICE-FETCH,Off-chain,Confirm no valid price -> asset unavailable until later run,Confirm unavailable asset used,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Unavailable asset
VF-ORC-006,7.1.1,PRICE-FETCH,Off-chain,Confirm 4 community-token overrides use exact lookup env/contracts,Confirm override replaced by registry contract,N/A,External price APIs,RESOLVED — ARCHITECTURE DEFINED,Override fidelity
VF-ORC-007,7.2,PRICE-DELIVER + BASE-VERIFY (separate from source-lock evidence),Off-chain/Base,Confirm Base accepts only valid signed/batched record for exact asset; price path distinct from lock evidence,Confirm unsigned/wrong-asset record accepted; confirm price path conflated with lock evidence,N/A,Signing config,RESOLVED — ARCHITECTURE DEFINED,Signed/batched only; distinct from lock evidence
VF-ORC-008,7.2,PRICE-DELIVER,Base,Confirm successful record valid until next run; failed run marks asset unavailable,Confirm stale/failed record used,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Price validity
VF-ORC-009,7.2,BASE-VERIFY,Base,Confirm reference price at lock creation retained for that lock,Confirm repricing after creation,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Price retention
VF-ORC-010,7.2,BASE-VERIFY,Base,Confirm proof delay/retry does not reprice,Confirm delay repricing,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,No repricing
VF-ORC-011,7.2,BASE-VERIFY + BASE-EMIT,Base,Confirm Valuation Timestamp = finalized source block timestamp,Confirm different timestamp,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Valuation timestamp
VF-ORC-012,7.2,BASE-VERIFY,Base,Confirm same price determines gross and fee value,Confirm different prices used,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Single price
VF-ORC-013,7.2,BASE-EMIT,Base,Confirm emission rate selected by Valuation Timestamp,Confirm different rate selection,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Rate selection
VF-ORC-014,7.2,APP-PUBLIC + PRICE-DELIVER,Public app/Base,Confirm website updates cannot alter protocol calculations,Confirm display alters calc,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Display non-authoritative
VF-FEE-001,8.1,SRC-FEE,Source,Confirm Dev Fund receives 100% of fee,Confirm partial fee to Dev Fund,N/A,Dev Fund addresses (deferred),RESOLVED — ARCHITECTURE DEFINED,100% to Dev Fund
VF-FEE-002,8.1,SRC-FEE,Source,Confirm fee stays in original asset; no swap/convert/bridge/divide,Confirm conversion occurs,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Original form
VF-FEE-003,8.1,SRC-FEE,Source,Confirm principal never to Dev Fund,Confirm principal to Dev Fund,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Principal not to Dev Fund
VF-FEE-004,8.1,SRC-FEE,Source,Confirm one fixed immutable Dev Fund destination per env,Confirm multiple/variable destinations,N/A,Dev Fund addresses (deferred),DEFERRED EXTERNAL INPUT,One destination/env
VF-FEE-005,8.1,SRC-FEE,Source,Confirm asset-specific receiving account deterministically bound to env Dev Fund,Confirm non-deterministic binding,N/A,Dev Fund addresses (deferred),DEFERRED EXTERNAL INPUT,Deterministic binding
VF-FEE-006,8.1,SRC-FEE,Source,Confirm no actor may substitute destination,Confirm substitution accepted,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,No substitution
VF-FEE-007,8.2,BASE-VERIFY,Base,Confirm proof establishes exact actual fee + transfer to Dev Fund; fee verification separate from issuance,Confirm missing fee evidence accepted; confirm issuance gating fee verification,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Fee evidence; separate from issuance
VF-FEE-008,8.2,BASE-VERIFY,Base,Confirm fee-routing + principal-lock evidence refer to same lock,Confirm mismatched locks accepted,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Evidence consistency
VF-FEE-009,8.2,DEPLOY-FIN,Deployment,Confirm missing/zero/guessed/substitute Dev Fund addresses block deployment,Confirm deployment with placeholder,N/A,Dev Fund addresses (deferred),DEFERRED EXTERNAL INPUT,No placeholder addresses
VF-FEE-010,8.2,APP-PUBLIC + DEPLOY-FIN,Prototype/Deployment,Confirm prototype exposes destination config without inventing addresses,Confirm prototype invents addresses,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Prototype config fields
VF-FEE-011,8.2,SRC-FEE + BASE-RAC,Source/Base,Confirm completed fee non-refundable even if issuance impossible; verified fee still creates RAC (unless VCLM cap zero),Confirm refund issued; confirm RAC gated on issuance success,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Non-refundable; RAC independent of issuance; RAC keyed by immutable-facts identity (Section D)
VF-FEE-012,8.2,BASE-VERIFY + SRC-RELEASE + BASE-RAC,Base/Source,Confirm fee-routing failure prevents issuance + RAC but not principal release,Confirm principal blocked by fee failure; confirm RAC created on fee-routing failure,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Fee failure isolation; no RAC on fee-routing failure
VF-RAC-001,9,BASE-VERIFY,Base,Confirm Verified USD Fee Value = accepted USD valuation of actual rounded fee (verified precision),Confirm different valuation,N/A,Asset-precision metadata (I.6),RESOLVED — ARCHITECTURE DEFINED,RAC input
VF-RAC-002,9,BASE-RAC,Base,Confirm RAC = 60% of Verified USD Fee Value on fee verification,Confirm different percentage; confirm RAC only on issuance success,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,RAC formula; on fee verification (independent of issuance)
VF-RAC-003,9,BASE-RAC,Base,Confirm RAC assigned to 10-day epoch recorded on Base (at fee verification),Confirm assignment to wrong epoch,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Epoch assignment at fee verification
VF-RAC-004,9,BASE-EPOCH (two-phase),Base,Confirm Epoch Reward Basis = sum of RAC closed in epoch (phase 1 close),Confirm basis miscomputed,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Epoch basis at close
VF-RAC-005,9,BASE-EPOCH,Base,Confirm Epoch Reward VCLM uses permanent $0.10 Reward Reference Value (phase 2 allocate),Confirm oracle/market price used,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Reward reference value
VF-RAC-006,9,BASE-RAC,Base,Confirm credit becomes Used only at irreversible epoch allocation (incl. zero-reward/cap-rejection),Confirm reuse of credit; confirm marking Used before allocation,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Single-use at allocation
VF-RAC-007,9,BASE-RAC,Base,Confirm RAC does not transfer/reserve/collateralize/encumber Dev Fund asset,Confirm encumbrance,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Non-asset
