# GENERATED FILE — DO NOT EDIT BY HAND.
# Tool: tools/generate_traceability_matrix.cjs v1.0.0
# Commit: 861f03c
# Requirements: 209 | traced: 51 | implemented without a named test: 73 | not traced in code: 85
#
# The authored columns come from spec/Vinculum_Finalis_Requirement_Traceability.csv.
# The columns marked (generated) are derived from the repository at the commit above.
# Regenerate with: node tools/generate_traceability_matrix.cjs
#
# "NOT TRACED IN CODE" is expected for governance, process, and website
# requirements that no contract implements. It is not a defect and is not a
# finding; see reviewers/red-team/README.md.
Requirement ID,Specification section,Architecture component,Implemented in (generated),Tested by (generated),Source-environment program (generated),Traceability (generated),Positive test obligation,Negative or boundary test obligation,Deployment verification obligation,Current status
VF-COM-007,5.2,SRC-LOCK + BASE-VERIFY,base-contracts/contracts/VinculumFinalisVerifier.sol:verifyAndMint | base-contracts/contracts/chain-verifiers/SolanaChainVerifier.sol,"base-contracts/test/04_endtoend.test.cjs:CL-11: the caller | base-contracts/test/04_endtoend.test.cjs:VF-COM-007: a one-use mechanism permits exactly one, rejects the second | base-contracts/test/04_endtoend.test.cjs:VF-COM-007: a three-use mechanism permits exactly three, rejects the fourth | base-contracts/test/04_endtoend.test.cjs:VF-COM-008: a rejected attempt consumes no allowance | base-contracts/test/04_endtoend.test.cjs:allowance is per identity, not global",solana-vault/programs/vf-solana-vault/src/error.rs | solana-vault/programs/vf-solana-vault/src/instructions/commit_vault_lock.rs,TRACED,Confirm after the applicable allowance is consumed additional 1h by the same identity is rejected before becoming a recognized lock / authorizing issuance,Confirm over-limit 1h by same identity becomes a recognized lock,N/A,DESIGN DEFINED — DEPLOYABILITY EVIDENCE REQUIRED
VF-COM-008,5.2,SRC-LOCK,base-contracts/contracts/VinculumFinalisVerifier.sol:verifyAndMint,base-contracts/test/04_endtoend.test.cjs:VF-COM-008: a rejected attempt consumes no allowance,cosmos-hub-vault/contracts/vault/src/tests.rs | solana-vault/programs/vf-solana-vault/src/error.rs,TRACED,Confirm failed/reverted/invalid/unrecognized attempts consume no allowance,Confirm allowance consumed on failure,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-COM-009,5.3,SRC-LOCK + SRC-FEE,base-contracts/contracts/VinculumFinalisEvmVault.sol | base-contracts/contracts/VinculumFinalisVerifier.sol:recordFeeAndRac | base-contracts/contracts/VinculumFinalisVerifier.sol:verifyAndMint,,cosmos-hub-vault/contracts/vault/src/error.rs | cosmos-hub-vault/contracts/vault/src/msg.rs | solana-vault/programs/vf-solana-vault/src/constants.rs | solana-vault/programs/vf-solana-vault/src/error.rs,IMPLEMENTED — NO NAMED TEST,Confirm 7d-3650d require >=$10.00 and 5.00% fee,Confirm below-min rejected,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-COM-010,5.3,SRC-LOCK,,,cosmos-hub-vault/contracts/vault/src/contract.rs | cosmos-hub-vault/contracts/vault/src/error.rs | solana-vault/programs/vf-solana-vault/src/constants.rs | solana-vault/programs/vf-solana-vault/src/error.rs | solana-vault/programs/vf-solana-vault/src/events.rs | solana-vault/programs/vf-solana-vault/src/instructions/commit_vault_lock.rs | solana-vault/programs/vf-solana-vault/src/state.rs,IMPLEMENTED — NO NAMED TEST,Confirm zero amount invalid,Confirm zero amount accepted,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-COM-011,5.3,SRC-FEE + BASE-QNORM,base-contracts/contracts/VinculumFinalisBaseVault.sol:commitVaultLock | base-contracts/contracts/VinculumFinalisEvmVault.sol:createLock | base-contracts/contracts/VinculumFinalisVerifier.sol | base-contracts/contracts/VinculumFinalisVerifier.sol:recordFeeAndRac | base-contracts/contracts/VinculumFinalisVerifier.sol:verifyAndMint,,cosmos-hub-vault/contracts/vault/src/contract.rs | solana-vault/programs/vf-solana-vault/src/events.rs | solana-vault/programs/vf-solana-vault/src/instructions/commit_vault_lock.rs | solana-vault/programs/vf-solana-vault/src/state.rs,IMPLEMENTED — NO NAMED TEST,Confirm fee units = floor(gross*bps/10000) using verified precision,Confirm rounding-up; confirm relayer-supplied precision accepted,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-COM-012,5.3,SRC-LOCK + BASE-QNORM,base-contracts/contracts/VinculumFinalisVerifier.sol:recordFeeAndRac | base-contracts/contracts/VinculumFinalisVerifier.sol:verifyAndMint,,cosmos-hub-vault/contracts/vault/src/contract.rs | solana-vault/programs/vf-solana-vault/src/events.rs | solana-vault/programs/vf-solana-vault/src/instructions/commit_vault_lock.rs | solana-vault/programs/vf-solana-vault/src/state.rs,IMPLEMENTED — NO NAMED TEST,Confirm principal = gross - rounded fee; precision from immutable table,Confirm principal miscomputed; confirm false decimals,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-COM-013,5.3,SRC-LOCK,base-contracts/contracts/VinculumFinalisVerifier.sol:recordFeeAndRac | base-contracts/contracts/VinculumFinalisVerifier.sol:verifyAndMint,,cosmos-hub-vault/contracts/vault/src/contract.rs | cosmos-hub-vault/contracts/vault/src/error.rs | solana-vault/programs/vf-solana-vault/src/error.rs | solana-vault/programs/vf-solana-vault/src/instructions/commit_vault_lock.rs,IMPLEMENTED — NO NAMED TEST,Confirm reject if rounded fee=0 or principal=0,Confirm zero-fee/zero-principal accepted,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-COM-014,5.3,SRC-LOCK,,,,NOT TRACED IN CODE,Confirm decimal-incompatible asset rejected for Handshake but eligible for longer locks,Confirm incompatible asset used for Handshake,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-COM-015,5.3,SRC-FEE,,,,NOT TRACED IN CODE,Confirm collected fee of a recognized lock is non-refundable,Confirm refund issued for a recognized lock,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-COM-016,5.3,SRC-RELEASE,,,cosmos-hub-vault/contracts/vault/src/error.rs,IMPLEMENTED — NO NAMED TEST,Confirm no early/cancel/penalty/admin/emergency release in the recognized design,Confirm early release accepted,N/A,DESIGN DEFINED — DEPLOYABILITY EVIDENCE REQUIRED
VF-COM-017,5.4,BASE-ISSUE + BASE-QNORM,base-contracts/contracts/VinculumFinalisVerifier.sol,,,IMPLEMENTED — NO NAMED TEST,Confirm issuance begins with full Verified Gross USD Value before fee (verified precision),Confirm fee reduces basis; confirm false precision,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-COM-018,5.4,BASE-ISSUE,base-contracts/contracts/VinculumFinalisVerifier.sol:verifyAndMint,,,IMPLEMENTED — NO NAMED TEST,Confirm calculation order: gross -> rate -> asset mult -> duration mult -> units,Confirm order changed,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-COM-019,5.4,BASE-ISSUE,base-contracts/contracts/VinculumFinalisVerifier.sol:remainingChonxCapacity | base-contracts/contracts/VinculumFinalisVerifier.sol:verifyAndMint,,,IMPLEMENTED — NO NAMED TEST,Confirm integer division rounds down; no reorder/round-to-nearest,Confirm reordering/round-to-nearest,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-COM-020,5.4,BASE-ISSUE,base-contracts/contracts/VinculumFinalisVerifier.sol:verifyAndMint,"base-contracts/test/09_registration.test.cjs:VF-COM-020: every value outside {0,1} is rejected before any minting | base-contracts/test/09_registration.test.cjs:rejection precedes emission-rate selection, so no invalid rate is ever used | base-contracts/test/25_w1_identity_binding.test.cjs:W1-01c · a package naming a different selectedOutputToken must not mint",solana-vault/programs/vf-solana-vault/src/error.rs | solana-vault/programs/vf-solana-vault/src/events.rs | solana-vault/programs/vf-solana-vault/src/instructions/commit_vault_lock.rs | solana-vault/programs/vf-solana-vault/src/state.rs,TRACED,Confirm exactly one output token per lock,Confirm two outputs issued,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-COM-021,5.4,BASE-ISSUE,,,,NOT TRACED IN CODE,Confirm full output issued to bound recipient,Confirm partial/redirect,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-COM-022,5.4,BASE-TOK-*,,,,NOT TRACED IN CODE,Confirm classification/history does not attach to fungible VCLM/CHONX,Confirm traceability attached,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-COM-023,5.4,SRC-LOCK,,,,NOT TRACED IN CODE,Confirm lock not renewable; new separate lock after maturity,Confirm renewal accepted,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-COM-024,5.4,SRC-LOCK,,,,NOT TRACED IN CODE,Confirm non-1h lock consumes no Handshake allowance,Confirm non-1h consumes allowance,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-COM-025,5.4,BASE-VERIFY + BASE-ACT,base-contracts/contracts/VinculumFinalisBaseVault.sol:commitVaultLock | base-contracts/contracts/VinculumFinalisEvmVault.sol:createLock | base-contracts/contracts/VinculumFinalisVerifier.sol | base-contracts/contracts/VinculumFinalisVerifier.sol:verifyAndMint,base-contracts/test/25_w1_identity_binding.test.cjs:W1-01c · a package naming a different selectedOutputToken must not mint,cosmos-hub-vault/contracts/vault/src/contract.rs | cosmos-hub-vault/contracts/vault/src/error.rs | cosmos-hub-vault/contracts/vault/src/msg.rs | cosmos-hub-vault/contracts/vault/src/state.rs | solana-vault/programs/vf-solana-vault/src/error.rs | solana-vault/programs/vf-solana-vault/src/instructions/commit_vault_lock.rs | solana-vault/programs/vf-solana-vault/src/state.rs,TRACED,Confirm CHONX active at lock creation via causal activation receipt (source flag or proof-verification path; Section H),Confirm later activation cures earlier selection; confirm timestamp comparison/tolerance invented,N/A,DESIGN DEFINED — DEPLOYABILITY EVIDENCE REQUIRED
VF-COM-026,5.2,SRC-LOCK + BASE-VERIFY,,,,NOT TRACED IN CODE,Confirm out-of-range 1h cannot become a recognized lock; 1h only via qualifying Handshake; over-limit attempt by same identity rejected before recognition,Confirm out-of-range 1h becomes a recognized lock,N/A,DESIGN DEFINED — DEPLOYABILITY EVIDENCE REQUIRED
VF-DEP-001,15,DEPLOY-FIN,base-contracts/contracts/VinculumFinalisVerifier.sol:_daysSinceLaunch | base-contracts/contracts/VinculumFinalisVerifier.sol:remainingChonxCapacity,base-contracts/test/00_smoke.test.cjs | base-contracts/test/01_findings.test.cjs:VF-DEP-001 · issuance inactive until finalization,cosmos-hub-vault/contracts/vault/src/msg.rs | cosmos-hub-vault/contracts/vault/src/state.rs | solana-vault/programs/vf-solana-vault/src/error.rs | solana-vault/programs/vf-solana-vault/src/instructions/initialize.rs | solana-vault/programs/vf-solana-vault/src/lib.rs | solana-vault/programs/vf-solana-vault/src/state.rs,TRACED,Confirm system inactive until all required config populated+validated (incl. asset-precision metadata + CHONX activation recording),Confirm activation with gaps,Confirm full config,RESOLVED — ARCHITECTURE DEFINED
VF-DEP-002,15,DEPLOY-FIN,base-contracts/contracts/VinculumFinalisStake.sol:remainingToAllocate | base-contracts/contracts/VinculumFinalisSynth.sol:balanceOf | base-contracts/contracts/VinculumFinalisToken.sol | base-contracts/contracts/VinculumFinalisToken.sol:initialize | base-contracts/contracts/VinculumFinalisVerifier.sol:registerChainVerifier | base-contracts/contracts/VinculumFinalisVerifier.sol:remainingChonxCapacity,base-contracts/test/01_findings.test.cjs:VF-DEP-002: a zero chain verifier cannot be registered | base-contracts/test/02_oracle.test.cjs:VF-DEP-002: a zero price publisher cannot be constructed,solana-vault/programs/vf-solana-vault/src/error.rs | solana-vault/programs/vf-solana-vault/src/instructions/commit_vault_lock.rs | solana-vault/programs/vf-solana-vault/src/instructions/initialize.rs,TRACED,Confirm incomplete/missing/provisional/guessed/zero/inconsistent config cannot finalize,Confirm finalize with bad config,Confirm consistency,RESOLVED — ARCHITECTURE DEFINED
VF-DEP-003,15,DEPLOY-FIN,base-contracts/contracts/VinculumFinalisVerifier.sol:configureDevFund | base-contracts/contracts/VinculumFinalisVerifier.sol:remainingChonxCapacity,base-contracts/test/01_findings.test.cjs:configureDevFund is unreachable after finalization | base-contracts/test/01_findings.test.cjs:finalize() cannot be called twice | base-contracts/test/01_findings.test.cjs:registerAssetPrecision is unreachable after finalization | base-contracts/test/01_findings.test.cjs:registerChainVerifier is unreachable after finalization | base-contracts/test/03_handshake.test.cjs:allowance cannot be registered after finalization,,TRACED,Confirm post-finalization no config change/upgrade/intervention/replacement,Confirm post-finalization change,Confirm immutability,RESOLVED — ARCHITECTURE DEFINED
VF-DEP-004,15,DEPLOY-FIN,base-contracts/contracts/VinculumFinalisToken.sol,base-contracts/test/00_smoke.test.cjs,,TRACED,Confirm implementer provides verifiable evidence deployed config matches spec,Confirm no evidence,Confirm evidence,RESOLVED — ARCHITECTURE DEFINED
VF-DEP-005,15,DEPLOY-MANIFEST,,,,NOT TRACED IN CODE,Confirm manifest records addresses/ids/hashes/compiler/lockfiles/bytecode + preserves registry artifact + asset-precision metadata; conformity under VF-REG-011,Confirm missing manifest,Confirm manifest complete,RESOLVED — ARCHITECTURE DEFINED
VF-DEP-006,15,DEPLOY-FIN,base-contracts/contracts/VinculumFinalisToken.sol | base-contracts/contracts/VinculumFinalisToken.sol:initialize | base-contracts/contracts/VinculumFinalisVerifier.sol:configureDevFund | base-contracts/contracts/VinculumFinalisVerifier.sol:remainingChonxCapacity,base-contracts/test/01_findings.test.cjs:CL-02 · VF-IMM-001/VF-DEP-006: authority terminated at finalization | base-contracts/test/01_findings.test.cjs:initialize() cannot be called twice | base-contracts/test/01_findings.test.cjs:verifier deployer is zeroed - authority terminated (VF-DEP-006),,TRACED,Confirm temporary authority irreversibly terminated before finalization,Confirm authority remains,Confirm termination,RESOLVED — ARCHITECTURE DEFINED
VF-DEP-007,15,VERIFY-IMMUT,base-contracts/contracts/VinculumFinalisToken.sol | base-contracts/contracts/VinculumFinalisVerifier.sol:remainingChonxCapacity,base-contracts/test/01_findings.test.cjs:finalized flag is independently verifiable on-chain (VF-DEP-007) | base-contracts/test/01_findings.test.cjs:finalized flag is publicly readable (VF-DEP-007),,TRACED,Confirm absence of proxy/pause/rescue/upgrade independently verifiable,Confirm upgrade path present,Confirm no paths,RESOLVED — ARCHITECTURE DEFINED
VF-DEP-008,15,DEPLOY-FIN,,,cosmos-hub-vault/contracts/vault/src/contract.rs | cosmos-hub-vault/contracts/vault/src/error.rs | cosmos-hub-vault/contracts/vault/src/msg.rs,IMPLEMENTED — NO NAMED TEST,Confirm prototype does not require final addresses and does not authorize broadcast,Confirm prototype broadcasts,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-DOC-001,0.1,DOC-GOV,,,,NOT TRACED IN CODE,Confirm current Master Spec is sole governing expression,Attempt to override spec via code/conversation rejected,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-DOC-002,0.1,DOC-GOV,,,,NOT TRACED IN CODE,Confirm code/tests/scripts/website conform,Confirm non-conforming artifact flagged,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-DOC-003,0.1,DOC-GOV,,,,NOT TRACED IN CODE,Confirm later-revision incorporation required for change,Confirm ad-hoc change rejected,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-DOC-004,0.1,DOC-GOV,,,,NOT TRACED IN CODE,Confirm silence/ambiguity identified not assumed,Confirm unstated assumption rejected,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-DOC-005,0.2,DOC-GOV + DEPLOY-MANIFEST,,,,NOT TRACED IN CODE,Confirm revision designation only in Appendix D,Confirm no stray revision claims,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-DOC-006,0.2,DOC-GOV,,,,NOT TRACED IN CODE,Confirm later revision supersedes,Confirm prior-revision reliance rejected,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-DOC-007,0.2,DOC-GOV,,,,NOT TRACED IN CODE,Confirm every mechanism states trigger/inputs/outputs/success/reject/relationships/authority,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-DOC-008,0.3,VERIFY-TEST,,,,NOT TRACED IN CODE,Confirm review identifies exact file/date/conclusion/findings,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-DOC-009,0.3,DOC-GOV,,,,NOT TRACED IN CODE,Confirm no AI reviewer approval/amendment,Confirm AI approval rejected,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-DOC-010,0.3,VERIFY-TEST,,,,NOT TRACED IN CODE,Confirm independent implementations functionally equivalent,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-EXT-001,19,DOC-GOV + architecture,,,,NOT TRACED IN CODE,Confirm implementer designs within spec requirements/prohibitions and the chain-equivalent outcome principle,Confirm out-of-spec design,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-EXT-002,19,DEPLOY-FIN,,,,NOT TRACED IN CODE,Confirm unavailable address/unfinished deliverable reported incomplete not invented (incl. deployable proof paths DESIGN DEFINED; Cosmos Hub EVIDENCE REQUIRED — CHAIN-NATIVE FEASIBILITY ANALYSIS INCOMPLETE; fee-treatment settled Pass 5; row 54 BCH already in current governing registry),Confirm invented value,Confirm no invention,RESOLVED — ARCHITECTURE DEFINED
VF-EXT-003,19,DEPLOY-FIN,,,,NOT TRACED IN CODE,Confirm no live deployment finalized until all deliverables complete+verified (incl. Cosmos Hub feasibility analysis; deployable proof paths; XRPL atomic design; pending-attempt resolution objective disposition; fee-treatment settled Pass 5; BCH already in governing inputs),Confirm finalize with gaps,Confirm complete,DESIGN DEFINED — DEPLOYABILITY EVIDENCE REQUIRED
VF-FEE-001,8.1,SRC-FEE,,,,NOT TRACED IN CODE,Confirm Dev Fund receives 100% of fee,Confirm partial fee to Dev Fund,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-FEE-002,8.1,SRC-FEE,,,,NOT TRACED IN CODE,Confirm fee stays in original asset; no swap/convert/bridge/divide,Confirm conversion occurs,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-FEE-003,8.1,SRC-FEE,,,,NOT TRACED IN CODE,Confirm principal never to Dev Fund,Confirm principal to Dev Fund,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-FEE-004,8.1,SRC-FEE,base-contracts/contracts/VinculumFinalisVerifier.sol | base-contracts/contracts/VinculumFinalisVerifier.sol:remainingChonxCapacity,,,IMPLEMENTED — NO NAMED TEST,Confirm one fixed immutable Dev Fund destination per env,Confirm multiple/variable destinations,N/A,DEFERRED EXTERNAL INPUT
VF-FEE-005,8.1,SRC-FEE,,,,NOT TRACED IN CODE,Confirm asset-specific receiving account deterministically bound to env Dev Fund,Confirm non-deterministic binding,N/A,DEFERRED EXTERNAL INPUT
VF-FEE-006,8.1,SRC-FEE,base-contracts/contracts/VinculumFinalisVerifier.sol:verifyAndMint,base-contracts/test/04_endtoend.test.cjs:VF-COM-008: a rejected attempt consumes no allowance | base-contracts/test/04_endtoend.test.cjs:VF-FEE-006: a substituted destination is rejected | base-contracts/test/04_endtoend.test.cjs:an empty destination is rejected even if the registry were empty,,TRACED,Confirm no actor may substitute destination,Confirm substitution accepted,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-FEE-007,8.2,BASE-VERIFY,base-contracts/contracts/VinculumFinalisVerifier.sol:recordFeeAndRac | base-contracts/contracts/VinculumFinalisVerifier.sol:verifyAndMint,base-contracts/test/04_endtoend.test.cjs:VF-COM-008: a rejected attempt consumes no allowance | base-contracts/test/27_cl86_verify_before_credit.test.cjs,,TRACED,Confirm proof establishes exact actual fee + transfer to Dev Fund; fee verification separate from issuance,Confirm missing fee evidence accepted; confirm issuance gating fee verification,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-FEE-008,8.2,BASE-VERIFY,base-contracts/contracts/VinculumFinalisVerifier.sol:recordFeeAndRac | base-contracts/contracts/VinculumFinalisVerifier.sol:verifyAndMint,base-contracts/test/04_endtoend.test.cjs:VF-FEE-008: missing fee transfer evidence is rejected | base-contracts/test/27_cl86_verify_before_credit.test.cjs,,TRACED,Confirm fee-routing + principal-lock evidence refer to same lock,Confirm mismatched locks accepted,N/A,RESOLVED — ARCHITECTURE DEFINED
