Requirement ID,Governing text (exact — Master Specification Revision 6),Enforcing component,State transition / proof,Positive test,Negative test,Boundary test,Production evidence,Result,Explanation / refs
VF-ARC-006,"The Base-chain recipient may differ from the source-chain wallet, but it must be a valid nonzero address authorized by the source user and bound when the Commitment Vault Lock is created.","contract binds recipient at Execute","Recipient bound within atomic construction","Recipient bound at creation","Zero/unauthorized recipient rejected","N/A","C2 + C3 binding in proof","CONDITIONALLY SATISFIED","Binding in atomic construction; proof-field binding pending C3"
VF-COM-001,"Only the durations and multipliers in Section 5.1 are permitted.","contract duration/multiplier whitelist (16 durations per Protocol Constants)","Only permitted durations accepted","Permitted duration accepted","Intermediate duration rejected","Each duration boundary","Contract tests","CONDITIONALLY SATISFIED","Contract-logic; durations per Protocol Constants; pending workspace"
VF-COM-002,"No intermediate duration or interpolated multiplier is permitted.","contract rejects intermediates","Reject non-listed duration","Listed duration accepted","Intermediate rejected","Between-listed boundaries","Contract tests","CONDITIONALLY SATISFIED","Contract-logic; pending workspace"
VF-COM-003,"A qualifying Trust-Building Handshake is a one-hour Commitment Vault Lock with Verified Gross USD Value from $0.95 through $1.05 inclusive.","contract enforces 1h + value range","Validate 1h and USD value in [0.95,1.05]","Qualifying Handshake accepted","Out-of-range 1h rejected","$0.95 and $1.05 boundaries","Contract tests","CONDITIONALLY SATISFIED","Contract-logic; pending workspace + Section 5.2.1 enforcement path"
VF-COM-004,"Each successful qualifying Trust-Building Handshake charges a 2.50% fee.","contract 2.50% fee for 1h","floor(gross*250/10000) fee","2.50% fee charged","Wrong fee rejected","Rounding boundary","Contract tests","CONDITIONALLY SATISFIED","Contract-logic; pending workspace"
VF-COM-005,"The Handshake identity is the objectively recorded source-chain identity deterministically bound into the recognized lock evidence. For an account-model mechanism it is the source environment combined with the source account. For every UTXO-family mechanism it is exactly handshake_identity = (source_environment_id, canonical_release_public_key), where the canonical release public key is the single key authorizing the principal's maturity-release branch in the chain's canonical serialization and is proved against the locking, redeem/witness, or tapleaf evidence. An address, complete script, script hash, or maturity value is not an alternative identity; ambiguous or multi-key maturity-release paths are rejected for Handshake use. Each newly created objectively distinct wallet, account, or release public key receives its own applicable allowance. Creating one is permitted. Person-level identification, wallet clustering, cross-address association, detection of common control, and anti-Sybil enforcement are neither required nor permitted.","contract keys allowance by (cosmoshub-4, source_account)","Identity = (source_environment_id, source_account); new account permitted","New account gets own allowance","Identity mismatch rejected","New-account allowance","C2 contract tests","CONDITIONALLY SATISFIED","Cosmos Hub is account-model -> identity (cosmoshub-4, source_account); new account permitted; pending C2"
VF-COM-006,"A selected source mechanism capable of atomically maintaining persistent per-identity allowance state permits exactly three successful qualifying Trust-Building Handshakes per bound identity. A selected source mechanism without that capability permits exactly one. The applicable allowance is determined by the actual selected source mechanism, not by a broad chain label.","contract on-chain persistent allowance counter","CosmWasm maintains persistent per-identity state -> THREE-use","Three successes; fourth rejected","Fourth accepted (negative)","Three-vs-one boundary","C1/C2 contract tests","CONDITIONALLY SATISFIED","CosmWasm maintains persistent on-chain state -> Cosmos Hub qualifies for THREE-use; pending C1/C2"
VF-COM-007,"For a one-use mechanism, the first successful qualifying Handshake consumes the identity's allowance and a second qualifying attempt by that identity cannot become a recognized Commitment Vault Lock or authorize issuance. For a three-use mechanism, the first three successes consume the allowance and the fourth qualifying attempt is rejected. The official application must refuse an additional one-use Handshake before broadcast while the identity is used or has an objectively pending attempt.","contract allowance check before value movement + official-app prevention","Check allowance before fee/principal transfer; reject fourth; app refuses while pending","Fourth rejected atomically","Fourth accepted (negative)","Fourth boundary","C1/C2 + C5 pending-attempt","CONDITIONALLY SATISFIED","Three-use: fourth rejected atomically; official-app prevention pending C5 (Cosmos Hub pending criteria); pending C1/C2"
VF-COM-008,"A failed, reverted, invalid, or unrecognized attempt consumes no Trust-Building Handshake allowance. Application-local preventive state does not consume protocol allowance.","contract atomic revert rolls back counter","Revert rolls back allowance increment","Failed attempt consumes no allowance","Failed attempt consumes allowance (negative)","N/A","C2 contract tests","CONDITIONALLY SATISFIED","SDK/CosmWasm atomic revert; pending workspace"
VF-COM-009,"Every Commitment Vault Lock from 7 days through 3,650 days requires at least $10.00 Verified Gross USD Value and charges a 5.00% fee.","contract minimum + 5.00% fee for >=7d","Validate >=$10.00 and 5.00% fee for 7d-3650d","Standard lock accepted","Below $10.00 rejected","$10.00 and 7d/3650d boundaries","Contract tests","CONDITIONALLY SATISFIED","Contract-logic; pending workspace"
VF-COM-010,"An actual zero asset amount is invalid for every duration.","contract rejects zero","Reject zero amount","Positive amount accepted","Zero rejected","Zero boundary","Contract tests","CONDITIONALLY SATISFIED","Contract-logic; pending workspace"
VF-COM-011,"Fee asset units equal floor(gross asset units x applicable fee basis points / 10,000).","contract floor rounding with canonical precision","floor(gross*bps/10000)","Correct floor fee","Rounding-up rejected","Floor boundary","C4a precision metadata","CONDITIONALLY SATISFIED","Native ATOM precision (6 decimals) standard; pending C4a live confirm + workspace"
VF-COM-012,"Commitment principal units equal gross asset units minus actual rounded fee units.","contract principal = gross - rounded fee","principal = gross - fee","Correct principal","Miscomputed principal rejected","Rounding boundary","C4a precision","CONDITIONALLY SATISFIED","Same as VF-COM-011; pending C4a + workspace"
VF-COM-013,"The request is rejected before assets move if rounding produces a zero fee or zero principal.","contract zero-fee/zero-principal rejection","Reject before state commit if fee=0 or principal=0","Nonzero fee/principal accepted","Zero fee or principal rejected","Zero boundary","Contract tests","CONDITIONALLY SATISFIED","Contract-logic; pending workspace"
VF-COM-014,"If an asset's decimal precision cannot represent a qualifying Trust-Building Handshake with both nonzero fee and nonzero principal, that asset cannot use the Handshake but remains eligible for longer qualifying Commitment Vault Locks.","contract decimal check","Reject decimal-incompatible for 1h; allow for >=7d","Incompatible asset Handshake rejected","Incompatible used for Handshake (negative)","Precision boundary","C4a precision","CONDITIONALLY SATISFIED","ATOM 6 decimals supports $0.95-$1.05 with nonzero fee/principal; pending C4a"
VF-COM-015,"A fee actually and irreversibly transferred to the fixed Dev Fund destination is permanently non-refundable, even if the source transaction is later rejected as unrecognized or over-limit. That rejection creates no recognized Commitment Vault Lock, issuance, Reward-Accounting Credit, Handshake-allowance consumption, or other Vinculum rights; any principal timelocked by the transaction remains deterministically releasable to its bound destination at maturity.","contract fee transfer to fixed Dev Fund is irreversible; principal releasable","Bank transfer to fixed Dev Fund; principal retained; release at maturity","Fee non-refundable; principal releasable","Refund issued (negative)","N/A","C4b fixed Dev Fund address","CONDITIONALLY SATISFIED","Bank transfer to fixed destination irreversible on-Hub; settled rule; pending C4b fixed Hub Dev Fund address"
VF-COM-016,"There is no early release, cancellation, penalty exit, administrative release, or emergency release for Commitment Vault principal.","contract no early path; maturity-only release","Release only after maturity","No early path exists","Early release rejected","Maturity boundary","C2","CONDITIONALLY SATISFIED","Contract exposes no early path; pending C2 (no-admin/no-sudo)"
VF-COM-017,"Commitment Vault issuance begins with the full Verified Gross USD Value before subtracting the fee.","Base-side issuance","Base issuance uses gross USD before fee","Gross basis used","Fee-reduced basis rejected","N/A","Base evidence","OUT OF COSMOS MECHANISM SCOPE","Base issuance calculation; not a Cosmos Hub source-mechanism concern"
VF-COM-018,"The required calculation order is Verified Gross USD Value, time-dependent emission rate, asset multiplier, Commitment Vault Lock duration multiplier, then smallest protocol-token units.","Base-side","Base calculation order","Correct order","Reordered rejected","N/A","Base evidence","OUT OF COSMOS MECHANISM SCOPE","Base issuance; not Cosmos-mechanism-dependent"
VF-COM-019,"Every integer division rounds down; factors may not be reordered or rounded to the nearest unit.","Base-side","Base rounding","Round-down","Round-to-nearest rejected","N/A","Base evidence","OUT OF COSMOS MECHANISM SCOPE","Base issuance; not Cosmos-mechanism-dependent"
VF-COM-020,"A Commitment Vault Lock creates exactly one selected output token: VCLM or activated CHONX.","Base-side + contract one output","One output token","Exactly one output","Two outputs rejected","N/A","Base + contract","CONDITIONALLY SATISFIED","Contract enforces one output; Base issuance one token; pending workspace"
VF-COM-021,"The complete calculated output is issued to the Base-chain recipient bound to the source Commitment Vault Lock.","Base-side","Base issues to bound recipient","Full output to recipient","Partial/redirect rejected","N/A","Base evidence","OUT OF COSMOS MECHANISM SCOPE","Base issuance; not Cosmos-mechanism-dependent"
VF-COM-022,"The asset classification and acquisition history do not attach to fungible VCLM or CHONX after issuance.","Base-side","Base fungibility","No classification attached","Traceability attached (negative)","N/A","Base evidence","OUT OF COSMOS MECHANISM SCOPE","Base fungibility; not Cosmos-mechanism-dependent"
VF-COM-023,"A Commitment Vault Lock is not renewable. After maturity the user may reclaim principal and create a separate new Commitment Vault Lock.","contract rejects renewal","Reject renewal; new lock only","New lock after maturity","Renewal accepted (negative)","Maturity boundary","C2 contract tests","CONDITIONALLY SATISFIED","Contract-logic; pending workspace"
VF-COM-024,"A Commitment Vault Lock with any duration other than one hour does not consume a Trust-Building Handshake allowance.","contract allowance scope","Non-1h does not increment allowance","Non-1h no allowance consumption","Non-1h consumes allowance (negative)","1h vs non-1h boundary","Contract tests","CONDITIONALLY SATISFIED","Contract-logic; pending workspace"
VF-COM-025,"CHONX must already be activated at the original Commitment Vault Lock creation time to be selected as its output; later activation cannot validate an earlier ineligible selection.","source flag or proof-verification path","CHONX activation receipt at creation","Activated CHONX selected at creation","Later activation cures earlier (negative)","Activation boundary","C3 activation-evidence channel","CONDITIONALLY SATISFIED","Causal activation receipt depends on proof path (C3); pending C3"
VF-COM-026,"A one-hour Commitment Vault Lock that does not satisfy the qualifying value range in VF-COM-003 is rejected. The one-hour duration is available only through a qualifying Trust-Building Handshake. An arbitrary or out-of-protocol source transaction does not become a Commitment Vault Lock and creates no issuance right, Reward-Accounting Credit, or Handshake-allowance consumption merely because it moves or timelocks assets.","contract + Base recognition","Out-of-range 1h rejected; arbitrary tx creates no rights","Out-of-range 1h rejected","Out-of-range 1h recognized (negative)","Value-range boundary","C2 + C3","CONDITIONALLY SATISFIED","Source enforcement + recognition gating; pending C2/C3"
VF-XCH-001,"The supported environment set is exactly the 17 environments listed in Section 11.1.","spec/registry","17 environments incl. Cosmos","17 environments","18th rejected","N/A","Protocol Constants (17 envs)","SATISFIED (spec/registry-level)","Cosmos Hub is one of 17 (Protocol Constants; registry row 479); not Cosmos-mechanism-dependent beyond membership"
VF-XCH-002,"No environment may be added, removed, or substituted without a later specification decision.","spec/registry","Set fixed at 17","Set immutable","Substitution rejected","N/A","Spec/registry","SATISFIED (spec-level)","Spec/registry immutability; not Cosmos-mechanism-dependent"
VF-XCH-003,"The deployment package must record the exact canonical network or chain identifier for each environment.","deployment manifest","Record cosmoshub-4 canonical id","cosmoshub-4 recorded","Missing id rejected","N/A","Manifest entry (cosmoshub-4) - exact canonical id deferred","CONDITIONALLY SATISFIED","Chain id cosmoshub-4 (indirect); exact canonical network/chain id to confirm live (C6)"
VF-XCH-004,"Commitment Vault principal remains on the source environment and does not bridge as part of the Commitment Vault Lock.","contract holds principal on-Hub","Principal on-Hub; no bridge in lock","No bridge","Bridged principal rejected","N/A","Design (no bridge)","CONDITIONALLY SATISFIED","No bridge in vault design; pending C1/C2"
VF-XCH-005,"The source mechanism binds the user, principal-release destination, asset, amount, creation timestamp, and maturity.","contract Execute binding","Bind all facts in atomic construction","All facts bound","Missing binding rejected","N/A","C2 + C3","CONDITIONALLY SATISFIED","Binding in atomic construction; proof-field binding pending C3"
VF-XCH-006,"Base-chain issuance cannot occur until the source Commitment Vault Lock satisfies its documented deterministic finality condition.","CometBFT finality gate + Base verifier","Gate issuance on finalized block","Issuance after finality","Pre-finality issuance rejected","Finality boundary","C3 + C5","CONDITIONALLY SATISFIED","CometBFT commit finality proposed (Section 5.2.3 flags Cosmos Hub criteria UNDEFINED); pending C3/C5"
VF-XCH-007,"Before implementation, the architecture must document the exact finality condition for all 17 environments.","architecture doc","Document Cosmos Hub finality","All 17 documented","Missing finality rejected","N/A","C5 (Cosmos Hub finality undefined in spec per Section 5.2.3)","CONDITIONALLY SATISFIED (criterion defined; C5 verification pending)","Section 5.2.3 flagged Cosmos Hub undefined; THIS ANALYSIS DEFINED the criterion: CometBFT commit finality + ICS-23 proof; tested in off-chain adapter (22/22). Pending: live tx-validity verification (C5) + full ICS-23 verifier (C3)"
VF-XCH-008,"A relayer or human cannot shorten or waive the applicable finality condition.","proof verifier enforces finality","Verifier requires finalized block","Finality enforced","Waived finality rejected","N/A","C3","CONDITIONALLY SATISFIED","Base verifier must enforce finality; pending C3"
VF-XCH-009,"Confirmation and proof-delivery delays do not alter the original Valuation Timestamp, Commitment Vault Lock timestamp, maturity, selected output, recipient, or calculated issuance.","on-chain timestamp immutable post-commit","Finalized block timestamp immutable","Delay does not alter facts","Alteration rejected","N/A","C3","CONDITIONALLY SATISFIED","Finalized block timestamp immutable; proof binding pending C3"
VF-XCH-010,"Tests must establish that premature, unconfirmed, and later-reversed source events cannot authorize Base issuance.","CometBFT BFT finality + proof-finality checks","Require finality before issuance","Premature event rejected","Premature event issued (negative)","Finality boundary","C3 + C5 + reversal tests","CONDITIONALLY SATISFIED","BFT finality (reversal needs >1/3 Byzantine); tests not run (gate blocked); pending C3/C5/C7"
VF-XCH-011,"Evidence binds the source environment, unique Commitment Vault Lock identifier, canonical asset identity and precision, user, gross amount, actual fee amount and asset, fixed Dev Fund destination and fee-transfer evidence, principal, creation timestamp, maturity, selected output, authorized Base-chain recipient, release destination, applicable valuation record, immutable-facts Reward-Accounting Credit identity, objectively bound Handshake identity, applicable Handshake allowance count, and CHONX-activation receipt. For a UTXO-family mechanism the Handshake identity field contains the canonical release public key required by VF-COM-005.","deterministic event/state schema + normalizer","Bind all fields incl. handshake_identity=(cosmoshub-4, source_account) and allowance_count","All fields bound","Missing field rejected","N/A","C3 schema + normalizer build","CONDITIONALLY SATISFIED","Schema and normalizer not built/verified; handshake identity is account-model per VF-COM-005; pending C3"
VF-XCH-012,"A relayer may transport evidence but cannot change its contents, choose the output, redirect issuance, or exercise approval authority.","relayer transport-only; verifier","Relayer transports only","Relayer cannot alter","Relayer authority rejected","N/A","C3","CONDITIONALLY SATISFIED","Signature is not truth; verifier enforces; pending C3"
VF-XCH-013,"The combination of source environment and unique Commitment Vault Lock identifier may authorize Base issuance only once.","Base replay protection keyed by (cosmoshub-4, lock_id)","One issuance per lock id","One issuance","Duplicate issuance rejected","N/A","C3","CONDITIONALLY SATISFIED","Replay protection not built; pending C3"
VF-XCH-014,"A failed or temporarily unverifiable proof does not consume the unique identifier; corrected evidence may be resubmitted.","Base-side","Failed proof does not consume id","Corrected retry succeeds","Id consumed on failure (negative)","N/A","C3","CONDITIONALLY SATISFIED","Base handling; pending C3"
VF-XCH-015,"After successful issuance, every replay or duplicate submission is rejected.","Base-side","Replay rejected after issuance","Replay rejected","Replay accepted (negative)","N/A","C3","CONDITIONALLY SATISFIED","Base replay rejection; pending C3"
VF-XCH-016,"Proof failure prevents issuance but never prevents release of matured Commitment Vault principal.","on-chain permissionless release","Proof failure blocks issuance only","Release after proof failure","Principal blocked by proof failure (negative)","N/A","C2 + contract","CONDITIONALLY SATISFIED","On-chain release independent of proof; pending C2"
VF-XCH-017,"The selected architecture must document its trust assumptions and demonstrate equivalent required outcomes, security, and economic performance using the selected chain-native mechanism; it need not resemble an EVM contract. It may not introduce a person with discretionary power to approve, alter, redirect, or reverse issuance.","chain-equivalent design (no-admin CosmWasm)","Document trust assumptions; equivalent outcomes","No discretionary approver","Discretionary approver rejected","N/A","This report (chain-equivalent documented)","SATISFIED (principle governing)","Chain-equivalent principle is governing; no-admin CosmWasm is an acceptable chain-native form; governance software-upgrade is chain-level (out of scope), not a deployed-mechanism discretionary person"
VF-PRI-001,"The actual fee is removed or irrevocably designated at Commitment Vault Lock creation; the remaining principal is the amount subject to maturity.","contract fee designation at Execute","Fee designated at creation","Fee designated at creation","Fee not designated (negative)","N/A","C2","CONDITIONALLY SATISFIED","Contract-logic; pending workspace"
VF-PRI-002,"Commitment Vault principal may be released only once.","contract single-release state","Release once","Single release","Double release rejected","N/A","C2","CONDITIONALLY SATISFIED","Contract-logic; pending workspace"
VF-PRI-003,"Principal may be released only to the user or release destination bound when the Commitment Vault Lock was created.","contract bound destination","Release to bound dest only","Release to bound dest","Release to other rejected","N/A","C2","CONDITIONALLY SATISFIED","Contract-logic; pending workspace"
VF-PRI-004,"No price reference or oracle call is required for principal release.","on-chain permissionless release","Release needs no oracle","Release without oracle","Oracle required (negative)","N/A","C2","CONDITIONALLY SATISFIED","On-chain release needs no oracle; pending C2"
VF-PRI-005,"No Base issuance, epoch calculation, Treasury Reward Stake processing, registry update, relayer, or administrator is required for principal release.","on-chain permissionless release","Release independent of external services","Release with all external down","Dependency for release (negative)","N/A","C2","CONDITIONALLY SATISFIED","Release independent of external services; pending C2"
VF-PRI-006,"There is no early Commitment Vault principal release path.","contract no early path","No early release","No early path","Early release rejected","Maturity boundary","C2","CONDITIONALLY SATISFIED","Contract no early path; pending C2 (no-admin/no-sudo)"
VF-SEC-001,"An approved asset with fee-on-transfer, rebasing, callback, malformed, or otherwise incompatible behavior must be rejected unless its approved source-environment architecture explicitly handles that behavior without violating this specification.","contract asset/denom check","Accept only native ATOM; reject incompatible","Native ATOM accepted","Incompatible rejected","N/A","C2 + C4a","CONDITIONALLY SATISFIED","Native ATOM has no fee-on-transfer/rebase; pending C2/C4a"
VF-SEC-002,"External calls and state transitions must prevent reentrancy, duplicate issuance, and partial-accounting states.","CosmWasm VM sandbox + atomic state","Atomic state; no reentrancy","No reentrancy","Reentrancy/duplicate rejected","N/A","C2 contract tests","CONDITIONALLY SATISFIED","VM sandbox + contract-logic; pending workspace"
VF-SEC-003,"No failure path may substitute a default asset, price, environment, user, recipient, output, duration, multiplier, or Dev Fund destination.","contract explicit binding no defaults","No defaults; explicit binding","No substitution","Substitution rejected","N/A","C2 + C4a/C4b","CONDITIONALLY SATISFIED","No defaults; precision from registry + fixed Dev Fund; pending C2/C4"
VF-SEC-004,"The source Commitment Vault Lock identifier is consumed only after successful Base issuance.","contract + Base","Lock id consumed after issuance","Id consumed after issuance","Premature consumption rejected","N/A","C2 + C3","CONDITIONALLY SATISFIED","Source + Base coordination; pending C3"
VF-SEC-005,"A relayer or price-batch submitter obtains no authority to change protocol parameters or redirect user or Dev Fund value.","relayer transport-only","Relayer no authority","Relayer cannot change params","Relayer authority rejected","N/A","C3","CONDITIONALLY SATISFIED","Verifier enforces; pending C3"
VF-SEC-006,"Principal release remains independent of every Base-chain and external dependency.","on-chain permissionless release","Release independent of Base/external","Release with Base/external down","Dependency for release (negative)","N/A","C2","CONDITIONALLY SATISFIED","On-chain release independence; pending C2"
VF-DEP-001,"The implementation remains inactive until every required registry entry, blockchain identifier, Dev Fund destination, Axelar ITS dependency, proof-verification dependency, and fixed protocol parameter has been populated and validated.","deployment finalization gate","Gate blocks activation until config complete","Inactive until complete","Activation with gaps rejected","N/A","C4 + manifest","CONDITIONALLY SATISFIED","Gate logic; production inputs pending (C4b Dev Fund, C6 ids)"
VF-DEP-002,"An incomplete, missing, provisional, guessed, zero, or inconsistent configuration cannot be permanently finalized.","deployment gate","Reject bad config","Complete config finalizes","Bad config rejected","N/A","C4","CONDITIONALLY SATISFIED","Gate logic; inputs pending"
VF-DEP-003,"After successful finalization, configuration changes, upgrades, administrator intervention, and replacement dependencies are impossible.","immutability (no-admin/no-sudo + chain-equivalent)","No post-finalization change","No change possible","Post-finalization change rejected","N/A","C2 + chain-equivalent (VF-XCH-017)","CONDITIONALLY SATISFIED (C2 resolved)","CRUX RESOLVED: no-admin + no-migrate/no-sudo is immutable vs all in-protocol actors incl. governance (wasmd v0.60.7 source-verified). Only a chain-level software upgrade (hard-fork) can alter — out of scope per VF-XCH-017. Pending: running-binary confirm (C6), Rust compile/test (C7)"
VF-DEP-004,"The implementer may select the concrete initialization procedure but must provide verifiable evidence that the deployed configuration matches this specification.","deployment evidence","Provide config evidence","Evidence matches spec","No evidence rejected","N/A","Manifest","CONDITIONALLY SATISFIED","Pending deployment"
VF-DEP-005,"The deployment package records contract addresses, environment identifiers, configuration values, source hashes, compiler settings, dependency lockfiles, and deployed bytecode hashes, and preserves a copy of the exact machine-readable registry artifact used for deployment. Registry conformity is evaluated under VF-REG-011.","source manifest","Record all deployment artifacts","Manifest complete","Missing manifest rejected","N/A","C4b + C6/C7 pinned toolchain","CONDITIONALLY SATISFIED","Manifest schema defined; contents pending build"
VF-DEP-006,"Any temporary deployment authority must be demonstrably and irreversibly terminated before finalization.","deployment gate","Terminate temp authority before finalization","Authority terminated","Authority remains (negative)","N/A","C2","CONDITIONALLY SATISFIED","Empty admin at instantiation; pending C2"
VF-DEP-007,"The absence of proxy upgrade paths, pause paths, rescue paths, and discretionary value routes must be independently verifiable.","contract no such paths; empty admin; no sudo handler","Independently verifiable absence","Absence verifiable","Upgrade path present (negative)","N/A","C2","CONDITIONALLY SATISFIED (C2 resolved)","Independently verifiable: contract exposes no migrate/sudo entry (structural) + admin=\"\"; verified vs wasmd v0.60.7 keeper.go:512/636. Pending: running-binary confirm (C6)"
VF-DEP-008,"Prototype development does not require final external addresses and does not authorize broadcasting a deployment.","simulation label","Prototype not deployment","No broadcast","Prototype broadcasts (negative)","N/A","Keep PHASE 1 SIMULATION label","CONDITIONALLY SATISFIED","Simulation update deferred until gate passes; no broadcast authorized"
VF-VER-001,"Each numbered requirement maps to applicable contracts, source-environment programs, functions, tests, and deployment checks.","traceability matrix","Map each requirement","All mapped","Unmapped requirement (negative)","N/A","This matrix + workspace","CONDITIONALLY SATISFIED","Matrix produced; workspace deferred"
VF-VER-002,"Positive tests demonstrate every intended successful lifecycle, including one-use and three-use Handshake allowances, each new objectively distinct identity receiving its own applicable allowance, source-state and proof-verification-path enforcement, and recognized pending-attempt resolution.","contract + proof tests","Positive lifecycle incl. three-use + pending resolution","All positive pass","Missing positive (negative)","Three-use boundary","C2 + C3 + C5/C7","CONDITIONALLY SATISFIED (gated)","Tests blocked; pending C2/C3/C5/C7"
VF-VER-003,"Negative tests demonstrate rejection of invalid amounts, assets, prices, proofs, destinations, recipients, outputs, replays, premature releases, cap breaches, unauthorized control, over-limit Handshakes, arbitrary out-of-protocol transactions, ambiguous or multi-key UTXO release paths, duplicate official submissions while objectively pending, and any timer-, mempool-, or non-observation-based clearing of a still-valid transaction. Tests also establish that failed, reverted, invalid, objectively expired, replaced, and unrecognized attempts consume no allowance.","contract + proof tests","All negative rejections","All negatives pass","Missing negative (negative)","N/A","C2 + C3 + C5/C7","CONDITIONALLY SATISFIED (gated)","Tests blocked; incl. Cosmos Hub pending-attempt invalidation (C5)"
VF-VER-004,"Boundary tests cover exact thresholds, timestamps, fee rounding, one-use and three-use Handshake limits, canonical release-public-key normalization across permitted encodings and script wrappers, objective pending-attempt disposition and invalidation, multiplier transitions, epoch boundaries, term expirations, and lifetime-cap behavior.","contract + proof tests","All boundaries","All boundaries pass","Missing boundary (negative)","$0.95/$1.05; 3-use; sequence invalidation","C2 + C3 + C5/C7","CONDITIONALLY SATISFIED (gated)","Tests blocked; incl. Cosmos Hub objective pending-attempt invalidation (C5)"
VF-VER-005,"Principal-isolation tests demonstrate release after maturity despite failure of Base issuance, price updates, relayers, epoch processing, and external integrations.","contract + proof tests","Release with all external down","Release succeeds","Release blocked (negative)","N/A","C7","CONDITIONALLY SATISFIED (gated)","Tests blocked; pending C7"
VF-VER-006,"Independent reproduction is stronger evidence than self-reported pass counts.","independent build/test","Independent reproduction","Independently reproduced","Self-report only (negative)","N/A","C7","CONDITIONALLY SATISFIED (gated)","Not run; pending C7"
VF-VER-007,"No package may be described as production-ready or deployment-ready merely because it compiles or has a high passing-test count.","process","No premature readiness claim","Honest reporting","Premature declaration (negative)","N/A","This report (NOT FEASIBLE NOW)","SATISFIED (process)","This report explicitly declares NOT FEASIBLE NOW; honest reporting per VF-VER-007"
